Municipios;Obitos;Longitude;Latitude
Salvador;563;-38.488061;-13.014772
Boquira;4;-42.730115000000005;-12.820822999999999
Seabra;14;-41.768201;-12.418763
Jequié;45;-40.088607;-13.855664
Livr.Brumado;10;-41.66707;-14.205438000000001
Guanambi;40;-42.778562;-14.225315
Brumado;12;-41.66707;-14.205438000000001
Vit.Conquista;126;-47.543283;-19.936931
Itapetinga;94;-40.247381;-15.246167000000002
Valença;7;-39.07235;-13.370342
Ilhéus-Itabuna;132;-39.043184000000004;-14.793320000000001
Porto Seguro;48;-42.710926;-3.8914230000000005
Unaí;3;-39.074713;-15.294208
Paracatu;4;-41.461684999999996;-14.42663
Januária;38;-44.359805;-15.487873
Janaúba;25;-43.307683000000004;-15.799028
Salinas;65;-42.293506;-16.169856
Pirapora;20;-44.951065;-17.349582
Montes Claros;104;-43.865421999999995;-16.722707
Bocaiúva;1;-43.814444;-17.112105
Diamantina;98;-43.594457;-18.242093
Capelinha;17;-42.516075;-17.695385
Araçuaí;15;-36.917922999999995;-5.571946
Pedra Azul;5;-36.942797999999996;-8.498477000000001
Almenara;70;-40.697651;-16.180616
Teófilo Otoni;23;-41.509634999999996;-17.86254
Nanuque;14;-40.351739;-17.838993
Ituiutaba;3;-49.462235;-18.973067999999998
Uberlândia;372;-48.27795;-18.918999
Patrocínio;55;-46.997438;-18.940813000000002
Patos de Minas;70;-37.276913;-7.0244919999999995
Frutal;4;-48.939153999999995;-20.025898
Uberaba;221;-47.983625;-19.713535
Araxá;31;-46.94001;-19.59133
Três Marias;17;-35.318542;-7.0563839999999995
Curvelo;20;-44.428399;-18.755481
Bom Despacho;16;-45.254115000000006;-19.737596
Sete Lagoas;149;-37.91509;-6.594208999999999
Pará de Minas;44;-44.60538;-19.864738
B Horizonte;2605;-38.494240000000005;-4.093278
Itabira;91;-37.540265999999995;-7.591137
Itaguara;2;-44.486778;-20.390678
Ouro Preto;7;-43.506448;-20.386776
Guanhães;7;-42.937049;-18.777151
Peçanha;2;-42.563186;-18.546889
Mantena;3;-40.978526;-18.7807
Ipatinga;450;-42.520351;-19.481032
Caratinga;7;-42.143707;-19.789635
Aimorés;37;-41.073327;-19.49195
