Municipios;Obitos
33016 Macacu-Caceribu;55
33017 Itaguaí;69
33018 Rio de Janeiro;4655
35001 Jales;83
35002 Fernandópolis;116
35003 Votuporanga;12
35004 S.José R.Preto;85
35005 Catanduva;397
35007 Nhandeara;1
35008 Novo Horizonte;15
35009 Barretos;43
35010 S.Joaquim Barra;32
35011 Ituverava;95
35012 Franca;326
35013 Jaboticabal;210
35014 Ribeirão Preto;667
35015 Batatais;50
35016 Andradina;59
35017 Araçatuba;73
35018 Birigui;30
35019 Lins;9
35020 Bauru;264
35021 Jaú;64
35022 Avaré;44
35023 Botucatu;369
35024 Araraquara;143
35025 São Carlos;30
35026 Rio Claro;92
35027 Limeira;143
35028 Piracicaba;108
35029 Pirassununga;32
35030 S.João B.Vista;151
35031 Mogi Mirim;161
35032 Campinas;1082
35033 Amparo;205
35034 Dracena;64
35035 Adamantina;69
35036 Pres.Prudente;323
35037 Tupã;93
35038 Marília;303
35039 Assis;90
35040 Ourinhos;51
35041 Itapeva;88
35042 Itapetininga;43
35043 Tatuí;19
35044 Capão Bonito;16
35045 Piedade;5
35046 Sorocaba;254
35047 Jundiaí;473
35048 Bragança SP;197
35049 Campos Jordão;3
35050 S.José Campos;318
35051 Guaratinguetá;163
35053 Par./Paraitinga;12
35054 Caraguatatuba;150
35055 Registro;16
35056 Itanhaém;54
35057 Osasco;658
35058 Franco da Rocha;46
35059 Guarulhos;471
35060 Itapec.Serra;696
35061 São Paulo;7640
35062 Mogi das Cruzes;361
35063 Santos;184
41001 Paranavaí;6
41002 Umuarama;72
41003 Cianorte;31
41004 Goioerê;6
41005 Campo Mourão;48
41006 Astorga;17
41008 Floraí;1
41009 Maringá;370
41010 Apucarana;127
41011 Londrina;413
41013 Ivaiporã;59
41015 Corn.Procópio;216
41016 Jacarezinho;38
41017 Ibaiti;2
41018 Wenceslau Braz;4
41019 Telêmaco Borba;33
41020 Jaguariaíva;2
41021 Ponta Grossa;93
41022 Toledo;171
41023 Cascavel PR;140
41024 Foz do Iguaçu;68
41025 Capanema;2
41026 Franc.Beltrão;81
41027 Pato Branco;71
41028 Pitanga;3
41029 Guarapuava;47
41030 Palmas;55
41031 Prudentópolis;5
41032 Irati;7
41033 União Vitória;54
41034 S.Mateus do Sul;2
41037 Curitiba;987
41038 Paranaguá;14
41039 Rio Negro PR;4
42001 S.Miguel Oeste;45
42002 Chapecó;91
42003 Xanxerê;35
42004 Joaçaba;82
42005 Concórdia;12
42006 Canoinhas;93
42007 S.Bento do Sul;33
42008 Joinville;247
42009 Curitibanos;40
42010 Campos de Lages;52
42011 Rio do Sul;44
42012 Blumenau;232
42013 Itajaí;116
42014 Ituporanga;67
42015 Tijucas;3
42016 Florianópolis;123
42018 Tubarão;137
42019 Criciúma;123
42020 Araranguá;72
43001 Santa Rosa;92
43002 Três Passos;15
43003 Fred.Westphalen;51
43004 Erechim;61
43005 Sananduva;16
43006 Cerro Largo;16
43007 Santo Ângelo;75
43008 Ijuí;74
43009 Carazinho;49
43010 Passo Fundo;123
43011 Cruz Alta;33
43012 Não-Me-Toque;5
43013 Soledade;39
43014 Guaporé;19
43015 Vacaria;81
43016 Caxias do Sul;187
43017 Santiago;86
43018 Santa Maria;66
43019 Restinga Seca;8
43020 S. Cruz do Sul;87
43021 Lajeado-Estrela;166
43022 Cachoeira Sul;20
43023 Montenegro;67
43024 Gramado-Canela;49
43025 S. Jerônimo;82
43026 Porto Alegre;1815
43027 Osório;100
43028 Camaquã;2
