Municipios;Obitos
31029 Pará de Minas;107
31030 B Horizonte;3347
31031 Itabira;221
31032 Itaguara;9
31033 Ouro Preto;58
31034 Cons. Lafaiete;108
31035 Guanhães;51
31036 Peçanha;24
31037 Gov. Valadares;319
31038 Mantena;27
31039 Ipatinga;661
31040 Caratinga;53
31041 Aimorés;95
31042 Piuí;96
31043 Divinópolis;169
31044 Formiga;116
31045 Campo Belo;61
31046 Oliveira;125
31047 Passos;309
31048 S. Seb. Paraíso;296
31049 Alfenas;223
31050 Varginha;396
31051 P. Caldas;325
31052 P. Alegre;162
31053 S Rita Sapucaí;50
31054 S. Lourenço;283
31055 Andrelândia;44
31056 Itajubá;239
31057 Lavras;110
31058 S J del Rei;107
31059 Barbacena;170
31060 Ponte Nova;125
31061 Manhuaçu;144
31062 Viçosa;108
31063 Muriaé;279
31064 Ubá;322
31065 Juiz de Fora;439
31066 Cataguases;258
32001 Barra S.Franc.;5
32002 Nova Venécia;10
32003 Colatina;121
32004 Montanha;3
32005 São Mateus;146
32006 Linhares;195
32007 Afonso Cláudio;78
32008 Santa Teresa;72
32009 Vitória;467
32010 Guarapari;11
32011 Alegre;191
32012 Cach.Itapemirim;250
32013 Itapemirim;117
33001 Itaperuna;382
33002 S.Antônio Pádua;132
33003 Campos Goytac.;461
33004 Macaé;198
33005 Três Rios;56
33006 Cantag/Cordeiro;42
33007 Nova Friburgo;291
33008 S.M.Madalena;27
33009 Bacia de S.João;79
33010 Lagos;211
33011 Vale Paraíba RJ;482
33012 Barra do Piraí;47
33013 Baía I.Grande;190
33014 Vassouras;254
33015 Serrana;317
33016 Macacu-Caceribu;108
33017 Itaguaí;136
33018 Rio de Janeiro;7180
35001 Jales;213
35002 Fernandópolis;162
35003 Votuporanga;117
35004 S.José R.Preto;518
35005 Catanduva;541
35006 Auriflama;10
35007 Nhandeara;52
35008 Novo Horizonte;76
35009 Barretos;131
35010 S.Joaquim Barra;101
35011 Ituverava;132
35012 Franca;417
35013 Jaboticabal;365
35014 Ribeirão Preto;1141
35015 Batatais;121
35016 Andradina;224
35017 Araçatuba;259
35018 Birigui;222
35019 Lins;102
35020 Bauru;529
35021 Jaú;339
35022 Avaré;102
35023 Botucatu;464
35024 Araraquara;418
35025 São Carlos;186
35026 Rio Claro;141
35027 Limeira;361
35028 Piracicaba;293
35029 Pirassununga;138
35030 S.João B.Vista;530
35031 Mogi Mirim;281
35032 Campinas;1780
35033 Amparo;283
35034 Dracena;164
35035 Adamantina;187
35036 Pres.Prudente;608
35037 Tupã;119
35038 Marília;473
35039 Assis;194
35040 Ourinhos;234
35041 Itapeva;336
35042 Itapetininga;179
35043 Tatuí;165
35044 Capão Bonito;119
35045 Piedade;112
35046 Sorocaba;1083
35047 Jundiaí;621
35048 Bragança SP;407
35049 Campos Jordão;56
35050 S.José Campos;929
35051 Guaratinguetá;367
35052 Bananal;7
35053 Par./Paraitinga;27
35054 Caraguatatuba;222
35055 Registro;207
35056 Itanhaém;66
35057 Osasco;987
35058 Franco da Rocha;188
35059 Guarulhos;837
35060 Itapec.Serra;904
35061 São Paulo;11006
35062 Mogi das Cruzes;833
35063 Santos;609
41001 Paranavaí;107
41002 Umuarama;242
41003 Cianorte;90
41004 Goioerê;24
41005 Campo Mourão;142
41006 Astorga;103
41007 Porecatu;11
41008 Floraí;3
41009 Maringá;489
41010 Apucarana;313
41011 Londrina;750
41012 Faxinal;6
41013 Ivaiporã;125
41014 Assaí;10
41015 Corn.Procópio;313
41016 Jacarezinho;131
41017 Ibaiti;18
41018 Wenceslau Braz;25
41019 Telêmaco Borba;88
41020 Jaguariaíva;5
41021 Ponta Grossa;265
41022 Toledo;240
41023 Cascavel PR;249
41024 Foz do Iguaçu;159
41025 Capanema;28
41026 Franc.Beltrão;169
41027 Pato Branco;160
41028 Pitanga;17
41029 Guarapuava;236
41030 Palmas;81
41031 Prudentópolis;20
41032 Irati;71
41033 União Vitória;94
41034 S.Mateus do Sul;15
41035 Cerro Azul;3
41036 Lapa;7
41037 Curitiba;1487
41038 Paranaguá;105
41039 Rio Negro PR;25
42001 S.Miguel Oeste;131
42002 Chapecó;283
42003 Xanxerê;144
42004 Joaçaba;226
42005 Concórdia;71
42006 Canoinhas;183
42007 S.Bento do Sul;88
42008 Joinville;573
42009 Curitibanos;85
42010 Campos de Lages;141
42011 Rio do Sul;203
42012 Blumenau;464
42013 Itajaí;364
42014 Ituporanga;109
42015 Tijucas;44
42016 Florianópolis;384
42017 Tabuleiro;3
42018 Tubarão;378
42019 Criciúma;253
42020 Araranguá;184
43001 Santa Rosa;233
43002 Três Passos;87
43003 Fred.Westphalen;113
43004 Erechim;164
43005 Sananduva;62
43006 Cerro Largo;52
43007 Santo Ângelo;301
43008 Ijuí;160
43009 Carazinho;159
43010 Passo Fundo;303
43011 Cruz Alta;122
43012 Não-Me-Toque;13
